id;codepoint;symbol;name;width;height;weight;q1_weight;q2_weight;q3_weight;q4_weight;q1_density;q2_density;q3_density;q4_density;xc;yc;xc_norm;yc_norm;Ix;Iy;Ix_norm;Iy_norm
1;U+10380;𐎀;Alpa;80;26;752;244;182;232;94;0.469231;0.350000;0.446154;0.180769;32.809840;12.022606;0.415314;0.480904;12580.615691;288081.807181;6.048373;138.500869
2;U+10381;𐎁;Beta;80;65;1691;467;303;567;354;0.364844;0.236719;0.429545;0.268182;31.632762;33.128918;0.400415;0.517639;578105.895920;449280.945003;111.174211;86.400182
3;U+10382;𐎂;Gamla;24;86;744;255;271;79;139;0.494186;0.525194;0.153101;0.269380;11.810484;31.409946;0.513499;0.369529;352521.966398;10334.278226;170.795526;5.006918
4;U+10383;𐎃;Kha;24;86;905;260;256;195;194;0.503876;0.496124;0.377907;0.375969;11.488398;38.344751;0.499496;0.451115;464392.437569;15862.128177;224.996336;7.685140
5;U+10384;𐎄;Delta;107;64;2547;787;395;790;575;0.464033;0.228588;0.465802;0.332755;44.244601;32.787201;0.417402;0.520432;859284.662740;1440084.613271;125.479653;210.292730
6;U+10385;𐎅;Ho;86;75;2245;749;264;833;399;0.470773;0.165933;0.509792;0.244186;31.430290;37.691759;0.369768;0.509348;966818.697550;1076196.340312;149.894372;166.852146
7;U+10386;𐎆;Wo;111;49;1587;510;221;533;323;0.386364;0.164435;0.387636;0.230714;41.293636;24.339635;0.375397;0.507076;148283.936988;1450983.165721;27.263088;266.773886
8;U+10387;𐎇;Zeta;24;86;882;289;278;161;154;0.560078;0.538760;0.312016;0.298450;11.385488;34.755102;0.495021;0.408884;394569.102041;14420.934240;191.167201;6.986887
9;U+10388;𐎈;Hota;93;96;2421;911;659;365;486;0.412591;0.292110;0.165308;0.215426;47.027261;42.238744;0.511166;0.444618;1067146.005783;1107876.200743;119.528002;124.090076
10;U+10389;𐎉;Tet;94;87;2162;704;550;463;445;0.348342;0.272143;0.223888;0.215184;48.163737;38.483811;0.517890;0.447486;741869.933395;1089710.037003;90.715326;133.248965
11;U+1038A;𐎊;Yod;49;86;1814;516;520;389;389;0.500000;0.483721;0.376938;0.361860;24.046307;38.305402;0.500965;0.450652;929838.807056;316590.110254;220.654677;75.128170
12;U+1038B;𐎋;Kaf;111;49;1573;526;201;548;298;0.398485;0.149554;0.398545;0.212857;39.540369;24.307692;0.359458;0.506410;148025.076923;1299042.686586;27.215495;238.838516
13;U+1038C;𐎌;Shin;92;87;2125;449;946;431;299;0.226997;0.478261;0.212945;0.147727;46.233412;35.111529;0.508059;0.408274;831558.567529;1059474.227765;103.892875;132.368094
14;U+1038D;𐎍;Lamda;74;86;2234;781;799;297;357;0.490886;0.502200;0.186675;0.224387;36.844673;31.393017;0.504722;0.369330;1058412.931065;963289.101611;166.312528;151.365352
15;U+1038E;𐎎;Mem;68;85;1343;484;640;0;219;0.338936;0.448179;0.000000;0.149795;39.431869;24.413254;0.588535;0.290634;413295.644080;485987.516009;71.504437;84.080885
16;U+1038F;𐎏;Dhal;72;87;1601;407;529;387;278;0.262920;0.341731;0.244318;0.175505;35.623985;39.066209;0.501746;0.454258;557478.981886;447111.638976;88.997283;71.377976
17;U+10390;𐎐;Nun;107;25;1085;266;222;325;272;0.418239;0.342593;0.471698;0.387464;45.939171;12.036866;0.433388;0.501536;18628.525346;797157.985253;6.963935;298.002985
18;U+10391;𐎑;Zu;118;86;2361;641;551;634;535;0.252661;0.217186;0.249901;0.210879;54.741211;41.194409;0.467874;0.484640;556901.766201;3018452.880136;54.877982;297.443130
19;U+10392;𐎒;Samka;45;86;1174;411;415;154;194;0.434461;0.419616;0.162791;0.196158;21.878194;29.909710;0.497232;0.351879;529154.429302;96621.581772;136.732411;24.966817
